,exog,endog,TE_XY,p_value_XY,z_score_XY,Ave_TE_XY,ETE_XY
0,0,1,0.0023158663160285364,0.45,0.14139336668519584,0.0002599494928264834,0.002055916823202053
1,1,0,-0.03488958564660649,1.0,-1.858123433156579,-0.002067643796286922,-0.03282194185031957
2,0,2,0.04271053086054799,0.0,3.351302575681637,-0.016876787134137584,0.05958731799468557
3,2,0,-0.0018993613247673125,0.3,0.332251291690978,-0.0064739378605644495,0.004574576535797137
4,0,3,0.04729856655647913,0.0,2.478099052154754,-0.0008707617720902005,0.04816932832856933
5,3,0,0.022539968355534512,0.1,1.3304429024657385,-0.0012559829330719197,0.023795951288606433
6,0,4,0.00264114652287617,0.15,1.1309870341929682,-0.012011909655544262,0.014653056178420432
7,4,0,-0.018915952229305866,0.7,-0.8595604993174857,-0.0028434243367156274,-0.016072527892590237
8,1,2,0.013827556379932382,0.1,1.5845896056175865,-0.013242651962687391,0.02707020834261977
9,2,1,0.033249373442644004,0.1,1.7811910536599909,-0.004272273125675641,0.03752164656831965
10,1,3,-0.016372854249411706,0.8,-0.962047968094189,0.002616053997741985,-0.018988908247153692
11,3,1,0.008765778352048503,0.15,0.8497969056614365,-0.005713640660890395,0.014479419012938899
12,1,4,-0.014220181171427981,0.5,0.05971750817424159,-0.014792325634302638,0.0005721444628746571
13,4,1,0.0020449537907638593,0.3,0.6042974327743437,-0.007847356252067516,0.009892310042831375
14,2,3,0.03951294212411538,0.05,2.9238356232745137,-0.010187742238167407,0.04970068436228279
15,3,2,0.03624695651697518,0.0,3.8608525496781834,-0.013475348170295342,0.04972230468727053
16,2,4,-0.02284906447917212,0.8,-0.8482936064596247,-0.00895531748322198,-0.01389374699595014
17,4,2,-0.016077683912228302,0.65,-0.41157178951575424,-0.009429248762506726,-0.0066484351497215766
18,3,4,0.010054509934581013,0.1,1.7407245619937828,-0.01492486777094213,0.024979377705523144
19,4,3,0.000901407948741717,0.25,0.24349837193000112,-0.002815565232424033,0.00371697318116575
