,exog,endog,TE_XY,p_value_XY,z_score_XY,Ave_TE_XY,ETE_XY
0,0,1,0.007695737187453311,0.25,0.5035037310227624,-0.0013294060931578144,0.009025143280611126
1,1,0,0.027880890063702868,0.1,1.779700710867505,0.00025521368054661766,0.02762567638315625
2,0,2,0.004935221136823209,0.35,0.7067394946123938,-0.007661105293856285,0.012596326430679494
3,2,0,-0.012111689715992302,0.55,-0.1638438430305819,-0.009832439662047453,-0.0022792500539448486
4,0,3,-0.02861918643808581,0.6,-0.36831402490733256,-0.02310861630388559,-0.00551057013420022
5,3,0,-0.023711617784537342,0.15,1.0586801623397615,-0.038441991955320984,0.014730374170783642
6,1,2,-8.912192871335378e-05,0.25,0.732761884798703,-0.01335568020579141,0.013266558277078056
7,2,1,-8.088830726471485e-05,0.25,0.39882731092745305,-0.0073338524301822085,0.007252964122917494
8,1,3,-0.03344687661524093,0.4,0.09224691056195532,-0.03503863999032693,0.001591763375086
9,3,1,-0.04961509934644237,0.65,-0.40388363475571865,-0.04349422417635851,-0.0061208751700838615
10,2,3,-0.031958104827634504,0.4,0.14344936021207322,-0.03502929553619003,0.003071190708555528
11,3,2,-0.05959560176513712,0.7,-0.6118902690227616,-0.04735818895671493,-0.012237412808422186
