,exog,endog,TE_XY,p_value_XY,z_score_XY,Ave_TE_XY,ETE_XY
0,0,1,-0.019652309285624003,0.85,-0.8571163299205143,-0.0031984549514999516,-0.016453854334124052
1,1,0,-0.006170734532078281,0.65,-0.4865247326703447,0.0018437001071934579,-0.008014434639271739
2,0,2,-0.010701851001287732,0.55,-0.18243377921154857,-0.008042264698738654,-0.002659586302549078
3,2,0,-0.023973649114367834,0.9,-1.2738183696861893,-0.001637656929015363,-0.022335992185352472
4,0,3,-0.016371723486921397,0.55,-0.14720968733674367,-0.01417922211483047,-0.002192501372090927
5,3,0,-0.009984781636263929,0.55,-0.11300020453943066,-0.008614470970637389,-0.0013703106656265396
6,1,2,-0.009172253517635287,0.9,-1.1255196052257828,0.005341782520933846,-0.014514036038569133
7,2,1,0.0021088204401737976,0.45,-0.10637594243897683,0.003997281550837628,-0.0018884611106638307
8,1,3,0.028813126234142672,0.1,1.8125675567070738,-0.002924807258051554,0.031737933492194226
9,3,1,0.004644926235849223,0.3,0.11345430385739624,0.0025890504306431026,0.00205587580520612
10,2,3,-0.01176477718336777,0.8,-0.7108062249599655,0.004764368592810886,-0.016529145776178655
11,3,2,0.011187528612529807,0.2,0.9473318666311886,-0.0009325329882318601,0.012120061600761668
