,exog,endog,TE_XY,p_value_XY,z_score_XY,Ave_TE_XY,ETE_XY
0,0,1,0.0026968148140822236,0.45,-0.22814502842673295,0.00443347235918957,-0.0017366575451073468
1,1,0,0.0002549674440471693,0.65,-0.8523167373172285,0.0027673467114604695,-0.0025123792674133
2,0,2,0.0023196272022490286,0.3,-0.026026894048924824,0.002421817013857307,-0.00010218981160827834
3,2,0,0.0014944401076586223,0.75,-0.8215360689820117,0.00514327045554077,-0.003648830347882148
4,0,3,0.00893921398005887,0.1,1.0289096549378847,0.004100611346037618,0.004838602634021252
5,3,0,0.0020220623442270503,0.3,-0.15992361102374567,0.003655785771718551,-0.0016337234274915007
6,1,2,1.4623298443928876e-05,1.0,-0.7602505137581047,0.0034740791225085074,-0.0034594558240645785
7,2,1,0.0005914871734288504,0.4,-0.4517314722780707,0.004124050158273726,-0.003532562984844876
8,1,3,0.007850541188467976,0.2,0.9721471769506709,0.0035239279315677067,0.00432661325690027
9,3,1,0.0014604328086923444,0.65,-0.5846094138383565,0.005333815027978601,-0.0038733822192862566
10,2,3,0.0018168949245091954,0.45,-0.4114950039200482,0.0031904028355963657,-0.0013735079110871703
11,3,2,0.0006453170896979699,0.8,-0.7963181188178474,0.005065671871435976,-0.004420354781738006
