,exog,endog,TE_XY,p_value_XY,z_score_XY,Ave_TE_XY,ETE_XY
0,0,1,0.07567372757416979,0.0,25.06427094310759,0.00419913167969849,0.0714745958944713
1,1,0,0.044422236808664306,0.0,4.359304705621144,0.00842977752213996,0.03599245928652435
2,0,2,0.19784770741762678,0.0,78.88975194729167,0.0027362161912565606,0.19511149122637023
3,2,0,0.11556152971467464,0.0,17.94593544991666,0.005110700347256055,0.11045082936741858
4,0,3,0.13530132575049603,0.0,18.743607807846796,0.004857020703367688,0.13044430504712834
5,3,0,0.1301752752127556,0.0,20.05014962198288,0.004213126242036268,0.12596214897071933
6,1,2,0.006640319572545725,0.4,0.5767962105607682,0.004236112865046128,0.002404206707499597
7,2,1,0.000131938626313919,0.85,-0.55612152022203,0.004748103821203073,-0.004616165194889154
8,1,3,0.003992028428208261,0.25,-0.08436329063615863,0.0045542987041468875,-0.0005622702759386262
9,3,1,0.003987238581713584,0.3,-0.098117885802174,0.004676057453976855,-0.0006888188722632711
10,2,3,0.0011265034568493204,0.45,-0.46744198022429073,0.0036434338249528853,-0.0025169303681035647
11,3,2,0.0005015155476373575,0.75,-0.8523505423235364,0.005164284258214384,-0.004662768710577026
