,exog,endog,TE_XY,p_value_XY,z_score_XY,Ave_TE_XY,ETE_XY
0,0,1,0.0012795285552882828,0.65,-0.6203089682902185,0.004989986715880628,-0.0037104581605923457
1,1,0,0.0015503044553128256,0.55,-0.5968314540656985,0.004415700037972246,-0.0028653955826594205
2,0,2,7.565905628497482e-05,1.0,-1.0232586105342916,0.0033572429452714374,-0.0032815838889864624
3,2,0,0.00037936803057997664,0.8,-0.8044447722679298,0.003649953483982968,-0.0032705854534029913
4,1,2,4.075188604365941e-05,0.95,-0.6121547258360686,0.0034891370930562314,-0.003448385207012572
5,2,1,0.014014313466440087,0.0,3.451134321229441,0.003232823863651474,0.010781489602788612
