,exog,endog,MI_XY,Norm_MI_XY,p_value_XY,z_score_XY,Ave_MI_XY
0,0,1,0.4385782936781002,0.1157779756535273,0.0,22.744473766629344,-0.017339995812050278
1,0,2,0.19964898100271888,0.05210330540452544,0.0,9.275864162346215,-0.01491033825770698
2,0,3,0.4666874862347452,0.12208963763496557,0.0,37.71563814587009,-0.021258265359097896
3,0,4,0.20298426097652733,0.05685484890558294,0.0,10.927276694125732,-0.01467181394586139
4,0,5,0.10744286001479075,0.029447436792850744,0.0,8.09074711572751,-0.018405894110579267
5,0,6,0.1853915709115288,0.04838248404832366,0.0,17.22267450178784,-0.011378279981148775
6,0,7,0.3460893355249661,0.09032051280973488,0.0,24.170532981926264,-0.01248461827910603
7,1,2,0.2012288976904948,0.05312135769923898,0.0,14.530812633538606,-0.01861445783554001
8,1,3,0.36856578113314065,0.09729574091980829,0.0,21.12750049981402,-0.015080517606590904
9,1,4,0.5113604144808663,0.14322942558077398,0.0,38.15999364730436,-0.011600846128156928
10,1,5,0.2211839024588773,0.06062104998282085,0.0,20.04294746916435,-0.012778108716415649
11,1,6,0.4385363466740744,0.11576690228468793,0.0,34.25757202004568,-0.01234069631694341
12,1,7,0.4897898028203471,0.12929703244251475,0.0,27.813206916710527,-0.0077917641565297124
13,2,3,0.20500025017041956,0.053629906514773035,0.0,18.813295133495302,-0.01738346302893672
14,2,4,0.39435937547852706,0.1104580355120462,0.0,21.68801839238641,-0.013184892084780043
15,2,5,0.4050728639004557,0.1110204768801354,0.0,30.493077346255582,-0.02686865583507565
16,2,6,0.3206676015716514,0.08359835700463007,0.0,24.112508794061615,-0.008382592713540804
17,2,7,0.5386173086808599,0.1404180585730748,0.0,42.2668793485553,-0.017042640961002054
18,3,4,0.24361722015839504,0.06823593206817825,0.0,14.113409443887907,-0.017435567715792865
19,3,5,0.19758410812411853,0.05415292867721322,0.0,13.017446285191287,-0.018276087751839885
20,3,6,0.24078482989447192,0.06299147394542727,0.0,13.989882001846986,-0.012188981247953068
21,3,7,0.4130720302828479,0.10806335284723076,0.0,19.136609657105552,-0.007223235255598403
22,4,5,0.5471425707596103,0.15325182376552385,0.0,47.92161698152289,-0.02727871001099853
23,4,6,0.594355616675676,0.16647595542487784,0.0,38.702740919044835,-0.0151087680671794
24,4,7,0.46203675157767776,0.12941412094415009,0.0,35.96441722282829,-0.01674555831133353
25,5,6,0.5522632716906006,0.15136173575315442,0.0,32.14836871024095,-0.010420997437929857
26,5,7,0.5611340503903781,0.1537929973095678,0.0,48.53642582842946,-0.022745241278650408
27,6,7,0.5887647654256449,0.15227591636121968,0.0,46.13133113076559,-0.012451220589625223
