,exog,endog,MI_XY,Norm_MI_XY,p_value_XY,z_score_XY,Ave_MI_XY
0,0,1,0.08024205541864937,0.0267354072701803,0.0,7.063312430390652,-0.02176361416567092
1,0,2,0.007243468216437066,0.001835398630464631,0.1,1.0320060002447535,-0.0075498743900908934
2,0,3,0.1489584540152924,0.0392434351330552,0.0,10.115090360532287,-0.014648200809540147
3,0,4,0.09144280644972191,0.023290972184477877,0.0,10.430466500647446,-0.022135849130607444
4,0,5,0.4406630018458353,0.11165815130505397,0.0,42.98479351759274,-0.007823923807343114
5,1,2,0.03200341537181295,0.010663041213713836,0.0,2.8191981721618027,-0.022406234565341167
6,1,3,0.323469806098279,0.10777511817866274,0.0,30.666629151581738,-0.034870410192685775
7,1,4,-0.05507380386903016,-0.01834973653995336,0.9,-1.08566090480116,-0.03633628727216069
8,1,5,0.06479601540036484,0.02158902650456044,0.0,4.601725514108364,-0.020013652710133556
9,2,3,0.15797418734499935,0.041618650077652815,0.0,10.895676773923459,-0.010299554246700815
10,2,4,0.03382250692969002,0.008614773525590062,0.0,4.027229150290499,-0.014584144556136635
11,2,5,0.0029293122811262506,0.0007401164928471436,0.1,1.6877487931933755,-0.012551648009037164
12,3,4,0.003339206633205194,0.00087972139461519,0.15,1.182656954828387,-0.019045578359597127
13,3,5,0.1752895238227241,0.046180413881947234,0.0,16.703121773096797,-0.014319248960683683
14,4,5,0.11057353537480985,0.02816367122513997,0.0,11.494381883062315,-0.019492358592302896
