,exog,endog,MI_XY,Norm_MI_XY,p_value_XY,z_score_XY,Ave_MI_XY
0,0,1,0.21690676661405828,0.0618910122003833,0.0,12.000455852853113,-0.024486920720682325
1,0,2,0.20080171199857055,0.052670672842115046,0.0,19.502908867882084,-0.01825662445937217
2,0,3,0.40163227800970347,0.10707743397457956,0.0,29.17353359770858,-0.023395916413774743
3,0,4,0.479592509591825,0.1238868273021868,0.0,36.835344933445135,-0.015421467057569683
4,1,2,0.6686723583868099,0.1907953806006109,0.0,35.60092042975863,-0.019127431482823365
5,1,3,0.2467417495678479,0.07040396605062775,0.0,16.403647192947926,-0.021607401790803404
6,1,4,0.3284233576062352,0.0937105575349116,0.0,26.15708072212552,-0.021486142281755116
7,2,3,0.15975175860086832,0.04259072121562443,0.0,17.46710836975663,-0.02118734449266988
8,2,4,0.29850426074472036,0.07829823811350022,0.0,22.52483008670944,-0.021980019720478517
9,3,4,0.5322384303781744,0.1418977719369854,0.0,33.47209225487718,-0.01371067438303104
