,exog,endog,MI_XY,Norm_MI_XY,p_value_XY,z_score_XY,Ave_MI_XY
0,0,1,0.7431057712738998,0.19348585481977948,0.0,50.078644926159875,-0.019984082628957456
1,0,2,0.20023334537180126,0.05213567366900068,0.0,11.7021799215969,-0.013675581971749918
2,0,3,0.16821333179503206,0.04415549289997596,0.0,14.948167509112256,-0.01863430557965917
3,0,4,0.1498323675194353,0.039414913410237416,0.0,12.258448958121852,-0.02073134472395819
4,0,5,0.09148298895522089,0.02914404437619714,0.0,10.860821238588759,-0.037247154023611805
5,0,6,0.09798683132749897,0.025810460574667314,0.0,8.349064539141411,-0.022478808152409258
6,0,7,0.22879733553347492,0.06361896090776223,0.0,14.221489530556154,-0.02293284636239936
7,0,8,0.11489491262681106,0.02996617002136853,0.0,8.962230300320215,-0.022958490564561628
8,1,2,0.2043042881571413,0.052751309447174516,0.0,13.792545502664865,-0.009325763961668043
9,1,3,0.14480684834602986,0.03801136150018197,0.0,9.850790556234571,-0.012956897800070921
10,1,4,0.13853000799996096,0.03644171389956648,0.0,10.38053581450761,-0.010298488919990323
11,1,5,0.08112286300113958,0.0258435841048725,0.0,6.644467244224621,-0.025478929317784303
12,1,6,0.14650722082228995,0.03859109224890894,0.0,10.292130790476252,-0.016263530354329304
13,1,7,0.1915051104447265,0.05324955426868256,0.0,11.699926511924742,-0.014166302517110286
14,1,8,0.08287184646434564,0.02161411488428107,0.0,5.314968113026724,-0.011499637269475515
15,2,3,0.2343018496899969,0.06150352977399048,0.0,17.121997590803353,-0.014942303244097533
16,2,4,0.2063998983558859,0.05429557215348544,0.0,13.803087635779228,-0.012721705090248437
17,2,5,0.23847597034298929,0.07597209428448731,0.0,16.87944224395835,-0.024304887536974996
18,2,6,0.4918394662961516,0.1295541756164497,0.0,22.058766667934293,-0.015226346604336926
19,2,7,0.3280357109280061,0.09121299870568407,0.0,31.2463035295116,-0.02238740707414011
20,2,8,0.21814019711870802,0.056893957146616624,0.0,12.37778538886906,-0.016420457783761576
21,3,4,0.4046999166897809,0.10646038928397045,0.0,25.02123855875492,-0.013977342282024319
22,3,5,0.21791036375060813,0.06942043962172649,0.0,14.462069713446226,-0.02611122816939839
23,3,6,0.23735265143746087,0.06252045473073778,0.0,14.81984715466465,-0.017073734085661086
24,3,7,0.45947092910864384,0.12775963063144702,0.0,26.418183557403648,-0.01122256672157218
25,3,8,0.2650398246098842,0.0695721556007979,0.0,15.074618806249866,-0.006977100323303098
26,4,5,0.3603149290051526,0.1147867423250954,0.0,21.540317771233205,-0.02555283144636129
27,4,6,0.4165397445485777,0.10971966853913237,0.0,30.066350889642667,-0.019349270884524917
28,4,7,0.5538392458705106,0.1539995089980644,0.0,56.237894921180164,-0.015685530426166626
29,4,8,0.5448652898211863,0.14333230245300815,0.0,42.773355449277,-0.018303088094009868
30,5,6,0.3879110279911586,0.12357812466451326,0.0,20.183643637405012,-0.030141240077388342
31,5,7,0.2676761082466772,0.08527448071255547,0.0,14.490132426401832,-0.028722009312873407
32,5,8,0.4387756856694889,0.13978225023460084,0.0,33.68939056934197,-0.021141027834185967
33,6,7,0.38985141367944287,0.10840135786056648,0.0,20.563831666354893,-0.018873203020988428
34,6,8,0.35704870261463384,0.09404928537050124,0.0,27.461956272790708,-0.020423795465201434
35,7,8,0.315242686720274,0.08765579422571894,0.0,22.15315663879024,-0.01780530051721132
