,exog,endog,MI_XY,Norm_MI_XY,p_value_XY,z_score_XY,Ave_MI_XY
0,0,1,0.41863310349699034,0.1263241219059591,0.0,30.991295908236168,-0.03520197544517671
1,0,2,0.8911284605195187,0.268901382475948,0.0,67.69111486997367,-0.03119228688636717
2,0,3,0.822078727452717,0.24806536443379792,0.0,38.81365969292392,-0.024736360378099585
3,0,4,0.534862976637287,0.1613969256117333,0.0,27.633217648871685,-0.02640230464718605
4,0,5,0.453961245139876,0.13698452222864635,0.0,22.7974335160432,-0.028518951455574017
5,1,2,0.8937935553239873,0.2555341455585861,0.0,74.21064917405641,-0.01620375080982637
6,1,3,0.8327289256109704,0.24587137623199828,0.0,70.99920964549246,-0.027410755974305312
7,1,4,0.865595688004988,0.23462312669240132,0.0,66.34663778038752,-0.019919777335275057
8,1,5,0.6303937126262076,0.16950222365338766,0.0,45.969159624877065,-0.022880462112976608
9,2,3,0.9912992334504214,0.292690813649057,0.0,49.87317896233559,-0.025148962509391914
10,2,4,0.8588535591036575,0.24554485661507186,0.0,59.38537849564755,-0.01889941781627278
11,2,5,0.5877101843040773,0.16802540014711057,0.0,33.8546442759226,-0.02608151327676187
12,3,4,0.6884676427663559,0.20327681867657899,0.0,39.409380282180514,-0.03190801035272002
13,3,5,0.6875856457847194,0.20301640042396654,0.0,61.53673019412684,-0.024627725020213688
14,4,5,0.47474121130034064,0.12868047855199347,0.0,40.68495026230749,-0.021401829715318142
