,exog,endog,MI_XY,Norm_MI_XY,p_value_XY,z_score_XY,Ave_MI_XY
0,0,1,0.27101773689350406,0.07980080730481563,0.0,20.758057379625527,-0.02606525631436165
1,0,2,0.21353852347900393,0.0628761303951073,0.0,9.79831055157158,-0.019666619175055765
2,0,3,0.10695111118142453,0.03149161052060036,0.0,8.677564209417914,-0.02664637856994965
3,0,4,0.24421256586073614,0.07190806082675363,0.0,9.94385946051006,-0.0172222634044775
4,1,2,0.5885758426192362,0.15576795162557272,0.0,40.86364135130624,-0.011060598061632154
5,1,3,0.15346136364975216,0.043568279157266104,0.0,10.720169976763518,-0.015895798401945126
6,1,4,0.3199958974776287,0.09283140545610472,0.0,26.69070151065304,-0.02295693805211805
7,2,3,0.15101151824018366,0.04287275849879059,0.0,13.318006466730393,-0.026542952026096467
8,2,4,0.3414635942617794,0.09905922425030515,0.0,17.976568898196557,-0.024494488326130704
9,3,4,0.09374636325319496,0.027195994466776025,0.0,6.643414881297259,-0.034775985293501545
