,exog,endog,MI_XY,Norm_MI_XY,p_value_XY,z_score_XY,Ave_MI_XY
0,0,1,1.1130861252251716,0.32814108655759283,0.0,81.70770161725831,-0.022035741736146308
1,0,2,1.0800005977418392,0.3183873750597377,0.0,50.75775491948275,-0.011848982799606578
2,0,3,1.1350848113617644,0.33462636438839927,0.0,67.57462099126215,-0.029277656529904838
3,0,4,0.9821721721131684,0.28954726542714593,0.0,59.20523969369304,-0.0212183648280583
4,0,5,1.0375119220954625,0.30586158763230503,0.0,56.95776978907914,-0.028647456136962512
5,0,6,0.49611723651782125,0.1462568307712714,0.0,30.981468638614356,-0.03194450070659736
6,1,2,0.577062569418815,0.1676051819059182,0.0,40.11736941404301,-0.0284326603063787
7,1,3,1.0238913723537468,0.2855090235423477,0.0,83.69363620686256,-0.02506826990348334
8,1,4,1.0934513224283613,0.30322090558375664,0.0,63.906582263547506,-0.01841957248910857
9,1,5,0.9241877929392457,0.2630957494624468,0.0,39.58391880531097,-0.01753034355072307
10,1,6,0.31932261280634666,0.08729912784506835,0.0,25.731475564945363,-0.023870180708190025
11,2,3,0.8145453117749932,0.2365809573962801,0.0,45.575480498323934,-0.025273186630029754
12,2,4,0.7566096244364955,0.21975380219716018,0.0,44.872153582153004,-0.020145450553726362
13,2,5,0.7306325100239714,0.21220886822078575,0.0,36.90780279888157,-0.028247944099020473
14,2,6,0.511476359642729,0.148555967483448,0.0,23.573875307318406,-0.02456353499412156
15,3,4,0.9149551220517456,0.25513247844011633,0.0,81.49916538716319,-0.017469150356744966
16,3,5,0.8255640263666884,0.235019752376731,0.0,49.95005993955899,-0.027119910148048508
17,3,6,0.3908354427938745,0.10898328538632096,0.0,22.819868604877318,-0.02730685530529069
18,4,5,0.7976063463433398,0.22706082148068343,0.0,41.352163196133674,-0.02124494164784596
19,4,6,0.33319416436900795,0.09239683027756623,0.0,22.22298814940756,-0.02467552967701119
20,5,6,0.32726293952900676,0.09316449427754732,0.0,21.959169557759605,-0.02561051541459869
