,exog,endog,MI_XY,Norm_MI_XY,p_value_XY,z_score_XY,Ave_MI_XY
0,0,1,1.4702930744586373,0.4720190605372083,0.0,84.44034320241713,-0.04974193474714363
1,0,2,2.2784496586327654,0.7574020497137222,0.0,180.3811172440663,-0.07018343099993976
2,0,3,1.5623234155388772,0.501564241625413,0.0,95.98279442942807,-0.04251681671990899
3,0,4,0.364885588190063,0.11714191920849283,0.0,14.337671837056146,-0.04134270200730237
4,1,2,1.4451061375513756,0.48038206439552716,0.0,55.436204049620905,-0.058712382644246296
5,1,3,1.2401845859125151,0.3946786937528398,0.0,78.41139886137407,-0.05075633170893008
6,1,4,0.2993976777763798,0.09528088457128338,0.0,17.957173657534934,-0.04999248016027473
7,2,3,1.5142315470285963,0.5033607273767249,0.0,85.37500287421673,-0.05342944046540752
8,2,4,0.32566999746006964,0.10825919399708622,0.0,25.906661355128414,-0.062353443638249885
9,3,4,0.34843242903115446,0.10190903466770204,0.0,25.91384556617528,-0.05030689667716546
