,exog,endog,TE_XY,p_value_XY,z_score_XY,Ave_TE_XY,ETE_XY
0,0,1,0.005368106482207793,0.35,-0.11092521958966811,0.00647822307686278,-0.0011101165946549871
1,1,0,0.0050589807677015085,0.4,-0.22432552590225122,0.007581775997541546,-0.002522795229840037
2,0,2,0.0007764119959166234,0.65,-0.7788781615344756,0.005800259342858165,-0.005023847346941541
3,2,0,0.015134046508118601,0.0,2.814637539679393,0.003667666367502702,0.011466380140615899
4,0,3,0.0007273357837331881,0.75,-0.6438706154438951,0.004833494870925077,-0.004106159087191889
5,3,0,0.0017519786535027766,0.5,-0.37210376222797475,0.006912361373468884,-0.005160382719966107
6,0,4,0.002387525772719052,0.55,-0.5197403967472792,0.004553561598647224,-0.002166035825928172
7,4,0,0.005427817182062507,0.05,1.5807711480685418,0.002101818907828125,0.0033259982742343823
8,1,2,0.0035903233489550115,0.3,0.1532275127302938,0.0029290832550185678,0.0006612400939364437
9,2,1,0.019437748224341696,0.1,1.4073062248235528,0.005804578215074216,0.01363317000926748
10,1,3,3.689396111170288e-05,0.95,-0.8487615837354551,0.005936295307108589,-0.005899401345996886
11,3,1,0.0045586652339560186,0.25,0.4435897465432512,0.0030956631406321893,0.0014630020933238293
12,1,4,0.0007518146699590346,0.6,-0.5043163229136532,0.0029012466743951948,-0.0021494320044361604
13,4,1,0.005990482211570605,0.3,0.052519550131924365,0.0055873530556768145,0.0004031291558937904
14,2,3,0.00345258415891148,0.6,-0.44217618204769515,0.005807947335944645,-0.002355363177033165
15,3,2,0.0013392210584719586,0.35,-0.05414100110196752,0.0014375222829862153,-9.830122451425665e-05
16,2,4,0.0005798494782432769,0.7,-0.7171318311469687,0.005462243178779909,-0.004882393700536632
17,4,2,0.02872390724435259,0.0,3.6332646003276357,0.005721615244756327,0.02300229199959626
18,3,4,0.002859715973350388,0.35,-0.22786372066169344,0.004057666270257268,-0.0011979502969068799
19,4,3,0.004091251894890072,0.2,0.25824315194889164,0.002990308599075151,0.0011009432958149212
