,exog,endog,TE_XY,p_value_XY,z_score_XY,Ave_TE_XY,ETE_XY
0,0,1,0.009215832516357715,0.05,2.185966052451106,0.002873737045383496,0.0063420954709742195
1,1,0,0.0035524544420655925,0.4,-0.09897278726794263,0.003960052601951236,-0.00040759815988564325
2,0,2,0.0009997364919137892,0.6,-0.5630695927732492,0.0045942014839807305,-0.003594464992066941
3,2,0,5.183841337859078e-05,0.9,-0.9733527851140246,0.002736571865499779,-0.0026847334521211885
4,0,3,0.006203297237817505,0.2,0.3833100631658924,0.0037589421032399708,0.0024443551345775345
5,3,0,2.955580434837463e-05,0.9,-0.7827326964681284,0.005652086476601998,-0.005622530672253623
6,0,4,0.009596459984619577,0.2,0.704140679009847,0.005091869440415936,0.004504590544203641
7,4,0,0.00039284616478598816,0.9,-0.9452729077957494,0.0065057071605152325,-0.006112860995729244
8,1,2,0.0020539299398160842,0.45,-0.3087739320866629,0.0038623219575299275,-0.0018083920177138432
9,2,1,0.015599869181774617,0.05,3.104833487890771,0.003177487892845536,0.012422381288929082
10,1,3,0.000619969958895322,0.85,-0.7756691538600436,0.0043837277682098694,-0.003763757809314547
11,3,1,0.0017809883522283112,0.5,-0.5577047374092744,0.006617411237783659,-0.004836422885555348
12,1,4,0.0002245207264516725,0.7,-0.670743461926989,0.006275617327638425,-0.006051096601186752
13,4,1,0.003911814620949503,0.35,-0.24865613208898535,0.005327897021476122,-0.0014160824005266187
14,2,3,0.00016257558766027353,0.85,-0.7078802924679094,0.006488389244129073,-0.006325813656468799
15,3,2,0.004109030739761983,0.4,-0.07940152732935284,0.0045274863332339585,-0.0004184555934719754
16,2,4,0.01524572626824259,0.05,2.0896187676883202,0.004073971849498424,0.011171754418744167
17,4,2,0.0016342471036827667,0.4,-0.4152747855288849,0.0034876470088757586,-0.001853399905192992
18,3,4,0.004354387651703506,0.5,-0.37679003579882814,0.008445614891971275,-0.0040912272402677695
19,4,3,0.00012299205759178742,0.9,-0.8965436579457102,0.0036894745525049137,-0.0035664824949131263
