,exog,endog,TE_XY,p_value_XY,z_score_XY,Ave_TE_XY,ETE_XY
0,0,1,0.001024656418380743,0.55,-0.33043614181145275,0.002688222506073936,-0.001663566087693193
1,1,0,0.015220946211520347,0.05,2.633686577575321,0.003958640373247281,0.011262305838273066
2,0,2,0.0008237839181775132,0.6,-0.37815333208837615,0.0052230362962232945,-0.0043992523780457815
3,2,0,0.0041357667923608,0.45,-0.24229171967074759,0.006355777554614972,-0.002220010762254172
4,0,3,0.01010464210873727,0.2,0.9083715940380046,0.004780660626925613,0.005323981481811657
5,3,0,0.015298158965792272,0.1,1.7756007225634818,0.005488666420241549,0.009809492545550722
6,0,4,0.005998840013105477,0.1,0.6822069983599356,0.003401337829855079,0.0025975021832503977
7,4,0,0.0023416823442675492,0.6,-0.5873765453235705,0.004177712107100731,-0.001836029762833182
8,0,5,0.006304566721611895,0.15,0.4086395663574738,0.0033225351660113077,0.0029820315556005877
9,5,0,0.00030660332332759584,0.8,-0.8165003837940993,0.004705328175236336,-0.00439872485190874
10,0,6,0.001421126162477274,0.5,-0.2918611734352023,0.0025346883071749567,-0.0011135621446976827
11,6,0,5.312215607200653e-08,1.0,-1.115319782768801,0.004044685559053631,-0.004044632436897559
12,0,7,0.0007315116136297165,0.75,-0.61660763761387,0.004855480753699012,-0.0041239691400692955
13,7,0,0.00737788366876676,0.1,1.2108154173571999,0.002605262465457252,0.004772621203309508
14,1,2,0.007797041656161737,0.35,0.5261392443447611,0.004952874375666852,0.002844167280494885
15,2,1,0.0020727346986077217,0.5,-0.3273488274554308,0.005169247195995378,-0.0030965124973876563
16,1,3,0.014062101215283437,0.1,1.6785878059637824,0.005820875955776779,0.008241225259506657
17,3,1,0.0125744687033222,0.15,1.661338995892834,0.0035135232910972016,0.009060945412224998
18,1,4,2.3304133523843348e-08,1.0,-0.8634561786373958,0.005120461375034834,-0.00512043807090131
19,4,1,0.0015919522724782184,0.55,-0.589921380760417,0.005561001305282238,-0.00396904903280402
20,1,5,0.01849549665264258,0.0,5.374138671594688,0.0031326853118959974,0.01536281134074658
21,5,1,0.008273143831558031,0.05,2.2534998001583544,0.0026509729192304883,0.005622170912327543
22,1,6,0.0038168880508252243,0.35,0.3736537933278956,0.002627309148911982,0.0011895789019132422
23,6,1,0.0006106631870650066,0.75,-0.650458691550903,0.0030626501695258514,-0.0024519869824608446
24,1,7,0.0004447663360292211,0.85,-0.64024003324813,0.0030327456819978283,-0.0025879793459686073
25,7,1,9.138544766605002e-06,0.95,-0.7215187560874126,0.006775855750595583,-0.006766717205828978
26,2,3,0.02296932627232473,0.0,6.582041016756565,0.003975089382499791,0.01899423688982494
27,3,2,0.018668407188363524,0.0,6.0857578462163175,0.0026647117645836912,0.016003695423779832
28,2,4,0.001549820887370317,0.6,-0.4027535442374992,0.00503963247863556,-0.0034898115912652427
29,4,2,0.0035896121634995397,0.45,-0.31690298896418123,0.005613378668853282,-0.0020237665053537426
30,2,5,0.001621275252138731,0.6,-0.6379919494998179,0.009303977579730673,-0.007682702327591942
31,5,2,3.863543685531368e-07,1.0,-0.7187197772527474,0.003489493090912725,-0.003489106736544172
32,2,6,0.0023713221949349847,0.45,-0.5003180313092422,0.006296752790290514,-0.003925430595355529
33,6,2,0.0034473559364691544,0.35,-0.2130833095434533,0.005319124170353582,-0.0018717682338844272
34,2,7,0.0023392908744602537,0.55,-0.4434472934050092,0.005252097115437385,-0.0029128062409771315
35,7,2,1.0795203835649986e-06,1.0,-0.6896961932353625,0.004696535359189567,-0.0046954558388060015
36,3,4,0.0022229616258742572,0.25,-0.14258158323712086,0.003163988134168904,-0.0009410265082946466
37,4,3,0.002121672552263093,0.45,-0.41914956987598806,0.0046382782892131855,-0.0025166057369500924
38,3,5,0.030680861448427646,0.0,6.09571378270445,0.0036419336143875603,0.027038927834040084
39,5,3,0.02527483909218641,0.0,5.288830244642898,0.0038622030486329235,0.02141263604355349
40,3,6,0.020140585671021526,0.05,2.5463283712555356,0.004314630639730333,0.015825955031291195
41,6,3,0.005137585322545027,0.25,0.11960412954903119,0.0044192236061080655,0.0007183617164369617
42,3,7,0.004963479920563001,0.35,0.22250743256946498,0.00391888248724227,0.0010445974333207304
43,7,3,0.010716220880462222,0.15,0.8453954434264297,0.004932759637245516,0.0057834612432167065
44,4,5,0.007030092364715457,0.3,0.5846663763890955,0.004186659887861484,0.0028434324768539737
45,5,4,0.007431563129649635,0.25,0.45200913714694546,0.005031482268856311,0.0024000808607933244
46,4,6,0.001131501511773505,0.65,-0.5399624215032357,0.0036973636326424484,-0.0025658621208689437
47,6,4,8.121009758350285e-05,0.8,-0.7143641101801474,0.0031819441909941666,-0.0031007340934106637
48,4,7,0.0023295881934114614,0.35,-0.16685777366116678,0.0030442270361760687,-0.0007146388427646073
49,7,4,1.1470192661554438e-05,0.95,-0.8367925613256861,0.003507918906960738,-0.0034964487142991833
50,5,6,0.004338131968740539,0.35,-0.11003485925914534,0.004898391005501606,-0.0005602590367610677
51,6,5,7.295655552552612e-05,0.75,-0.7618886568385317,0.003147320874455936,-0.00307436431893041
52,5,7,0.00011540275414761348,0.9,-1.0088384929947594,0.006660039296425317,-0.006544636542277703
53,7,5,0.00012073941145829121,0.8,-0.5009011383758915,0.002784951172120173,-0.0026642117606618817
54,6,7,0.0008180828948571475,0.5,-0.40410876624180425,0.003080044331446606,-0.0022619614365894584
55,7,6,1.7265098323208648e-06,0.95,-0.73199601820175,0.0027312639771137903,-0.0027295374672814694
