YYYY/MM/DD,USD/XAU,AUD/XAU,BRL/XAU,GBP/XAU,CAD/XAU,CLP/XAU,CNY/XAU,DKK/XAU,EGP/XAU,EUR/XAU,HKD/XAU,HUF/XAU,ISK/XAU,INR/XAU,IDR/XAU,ILS/XAU,JPY/XAU,KWD/XAU,MYR/XAU,MXN/XAU,NZD/XAU,NOK/XAU,PHP/XAU,PLN/XAU,RUB/XAU,SAR/XAU,SGD/XAU,ZAR/XAU,KRW/XAU,LKR/XAU,SEK/XAU,CHF/XAU,TWD/XAU,THB/XAU,TRY/XAU,AED/XAU
1/20/16,0.014268618,0.025232165,0.031002081,0.014584818,0.019509775,0.019509775,0.014006545,0.014253796,0.013296662,0.014069534,0.015501133,0.015672985,0.014972401,0.019512562,0.019478274,0.014779315,0.003239276,0.022820518,0.021355556,0.03679553,0.030327378,0.026352579,0.019185742,0.027287061,0.058461022,0.02086359,0.016175271,0.003949301,0.022002784,0.014480145,0.019504579,0.014319164,0.020942034,0.014436294,0.021450404,0.020865037
1/21/16,-0.00481031,-0.025821993,0.000614122,-0.006939104,-0.028412725,-0.012109323,-0.004628751,0.001646955,-0.004275741,0.001995352,-0.006386889,-0.002299029,0.001898661,-0.0071211,0.000203601,-0.005110813,0.005275783,-0.011993566,-0.008998819,-0.011500571,-0.024962028,-0.013978238,-0.007242165,-0.002447127,0.004891335,-0.008408497,-0.007645806,-0.007069538,-0.013569486,-0.00481031,-0.007383238,0.00297569,-0.011698047,-0.00716806,-0.015419939,-0.008376814
1/22/16,-0.000182399,-0.001652719,-0.005771892,-0.007818711,-0.006640534,-0.01117335,-0.000182399,0.001603171,-4.18E-05,0.001669657,-0.003060989,-0.006835898,0.000697521,-0.005204461,-0.006626368,0.003164671,0.006703515,0.004126451,-0.018410322,-0.001102692,0.005619125,-0.006644391,-0.001270909,-0.004315274,-0.052347846,-0.000449166,-0.005059897,0.000386326,-0.007483971,-0.000182399,0.001195114,0.003614302,-0.002415729,-0.005869769,-0.005998942,-0.000836212
1/25/16,0.009395239,0.015695552,0.004924214,0.013741723,0.0165996,0.017119267,0.009564013,0.008239487,0.009911269,0.007714441,0.008877095,0.009605464,0.010066702,0.012249466,0.006703324,0.004710624,0.010673817,0.002550872,0.009230815,0.015576772,0.010965569,0.007863094,0.015572921,0.011281867,0.026278114,0.010149544,0.009607311,0.001488915,0.008888938,0.009886326,0.008653763,0.009216243,0.009214457,0.0060874,0.012919077,0.010413523
1/26/16,0.006325682,0.001416092,0.001528618,-0.000440207,-0.007090111,0.001026442,0.006845676,0.004573443,0.005091605,0.005017775,0.006958803,0.005941522,0.004910835,0.006786223,0.012580218,0.006072053,0.005476964,0.003405044,0.005037503,0.001392979,0.003329696,0.000896592,0.005088818,0.002790352,-0.004866369,0.007372345,0.004775538,-0.008602304,0.010786644,0.006605314,0.005597661,0.01040104,0.005424361,0.004559215,0.003958406,0.007449487
1/27/16,0.002424569,-0.007615122,-0.001244159,0.008016675,0.001070134,-0.002505022,0.001541416,0.000574082,0.003539984,0.000348188,0.002617509,0.006217941,0.0001388,0.005427302,0.001056612,0.003056344,0.006147594,0.002457726,-0.00561146,-0.002621739,-0.002846213,-0.002010581,0.002780009,0.004008794,-0.014403891,0.00130293,0.004111679,-0.004053553,0.001923732,0.002076481,-0.003170533,0.001283427,0.005150421,0.001305386,-0.004466663,0.001251824
1/28/16,-0.002060378,-0.003331189,0.008518574,-0.008151624,7.15E-05,-0.005986249,-0.002257614,-0.009617224,-0.000938439,-0.009857883,-0.002111589,-0.010309524,-0.007303024,-0.000416036,9.28E-05,-0.00666138,-0.004158477,0.004904141,-0.012188175,-0.00553506,0.005689218,-0.00545857,-0.006034575,-0.010951086,-0.015161529,0.000681068,-0.00275902,0.000471146,0.001764101,-0.002060378,-0.003560317,-0.006335175,-0.002090118,-0.001195926,-0.007733523,0.000766646
1/29/16,-0.001974865,-6.61E-05,-0.017775571,0.009682032,-0.001478441,0.001041037,-0.001944513,0.008788869,-0.002471573,0.009196895,-0.002794346,-0.000687046,0.005942855,-0.004847977,-0.011286138,0.000197555,0.018295155,0.003499603,-0.015926136,-0.007423493,-0.000746964,0.007180374,-0.003855172,-0.000899276,-0.012212693,-0.006142484,-0.004282195,-0.016608855,0.002829306,-0.001905529,0.006428766,0.007075083,-0.005514278,-0.00576434,-0.005465637,-0.00612246
2/1/16,0.013221802,0.011430899,0.001568647,0.000331269,0.007896631,0.010467363,0.013576162,0.008382578,0.012096331,0.007964841,0.011426417,0.0062696,0.007889627,0.013759099,-0.00189872,0.011891141,0.013054425,0.007727394,0.013294966,0.017671369,0.006603292,0.01290782,0.012711792,0.002363464,0.027790043,0.01468318,0.013079506,0.015156578,0.008702601,0.013644125,0.009121603,0.010903398,0.012706646,0.010694569,0.010212571,0.014631243
2/2/16,0.001775411,0.005323025,0.001926129,-0.000469658,0.004207251,0.005730769,0.001851548,-0.000197279,0.002300396,-5.70E-05,0.004120644,0.005007624,0.001421062,0.00226211,0.004206547,0.004207458,-0.004348619,-0.004015579,0.014433527,0.012123312,0.003992738,0.002960032,0.007282905,0.000734811,0.030213529,0.006557984,0.003956395,0.030282821,0.008590775,0.001497159,0.006056903,-1.15E-05,0.004683104,0.006785273,0.001063296,0.006523161
