,exog,endog,Correlation,p_value_XY
0,005930,000660,0.32991025767340065,0.0001616125639896942
1,005930,005380,-0.03233877787752257,0.7192373985412975
2,005930,015760,-0.15572869728062727,0.08163650435021999
3,005930,035420,0.16197251679472235,0.06998592648160203
4,005930,012330,0.10728009741127191,0.23182585439694528
5,005930,028260,0.47487115485447073,1.9314405593525697e-08
6,005930,032830,0.047580892666185697,0.5967561224525488
7,005930,005490,0.05815439426231765,0.5177462196331889
8,005930,055550,0.03354916923940679,0.7091928404351737
9,005930,105560,0.017684196704544963,0.8441862436629696
10,005930,051910,0.014075157921672535,0.8756969263091917
11,005930,017670,0.09344693055766526,0.29798481550523825
12,005930,034730,0.029654471104671107,0.7416828277132049
13,005930,090430,-0.03034394703939497,0.7358959906970143
14,005930,000270,-0.011034276713020735,0.9024010743503145
15,005930,051900,-0.09266535045376174,0.3020618476778829
16,005930,033780,0.13001387828716413,0.1467732054619517
17,005930,096770,-0.02030207054209182,0.8214796942814979
18,005930,003550,0.0211870442983242,0.8138360379114079
19,005930,000810,0.022209178938373514,0.805029490392057
20,005930,066570,-0.08405294986413242,0.34940388346069645
21,005930,018260,0.24653860489063803,0.005387548922941081
22,005930,011170,0.0675769901651424,0.4521412716099054
23,005930,002790,-0.10608345477492856,0.23710431271427607
24,005930,086790,0.0022804587219113423,0.9797813751779989
25,005930,034220,0.2860846322202516,0.0011644860690290027
26,005930,010950,0.005898654932916164,0.9477337742875546
27,005930,006400,0.23826761464528853,0.007216141018133573
28,005930,000030,0.04999390397930905,0.5782551789694381
29,005930,009540,0.14041770385235283,0.11682124402980641
30,005930,023530,0.07818847965245244,0.3841639071234409
31,005930,030200,-0.05147738435614077,0.5670150127605478
32,005930,010130,0.0889151682117109,0.3221320982012797
33,005930,036570,0.10632510081780333,0.23603169495882842
34,005930,004020,0.019186101688548552,0.8311423259389555
35,005930,035250,0.08351727854380966,0.3524945037715054
36,005930,021240,-0.08339951186975544,0.3531762574953938
37,005930,161390,-0.08318667504848898,0.3544104622242419
38,005930,024110,-0.08148858799568816,0.36435353590664543
39,005930,032640,-0.028765398357053506,0.7491662098257247
40,005930,139480,0.049055276633693884,0.5854200914792339
41,005930,078930,0.0661395042547364,0.46183948191750673
42,005930,027410,0.16506124659141652,0.06474235765635589
43,005930,001040,0.02063611031148331,0.8185925317353391
44,005930,006800,0.16996502172076927,0.05707881588960854
45,005930,047810,0.201843736226349,0.023421354374770963
46,005930,009150,0.3059484842726376,0.0004940417634953263
47,005930,088350,-0.02397077100690899,0.7899096789683642
48,005930,086280,0.019469297353003782,0.8286878229514089
49,005930,004800,0.017241513181951953,0.8480391483822932
50,005930,018880,0.05161703857627634,0.5659622185821562
51,005930,000720,0.05901356214905623,0.5115692792825542
52,005930,005830,0.05320162695636998,0.5540820812796651
53,005930,009240,0.15347503359908476,0.08620520426675675
54,005930,097950,-0.00625194078151374,0.944608245735545
55,005930,009830,0.1729579553433039,0.0527793972602529
56,005930,010140,0.030376202145113405,0.7356256297369219
57,005930,001800,0.12935669277454598,0.14884394756046818
58,005930,036460,0.025589577012836262,0.7760838177874015
59,005930,029780,-0.09516040540766516,0.28917428925438937
60,005930,008930,-0.014660529097781871,0.8705714233962941
61,005930,128940,-0.020039818666459472,0.8237480589758327
62,005930,000120,0.06512132250974893,0.4687776188543236
63,005930,007070,0.017041653893175787,0.8497798093541611
64,005930,002380,0.2191964944507167,0.013662354548864011
65,005930,012750,-0.022535738423453855,0.8022209922498429
66,005930,005940,0.19130064468070102,0.03188874632874258
67,005930,012630,0.057654661844338845,0.5213564710864063
68,005930,000880,0.1068846948041836,0.23356080106085078
69,005930,016360,0.19607381363450455,0.02777901446829133
70,005930,071050,0.037998327888482605,0.6727097946372875
71,005930,001450,0.0897911105937401,0.3173689891021051
72,005930,138930,-0.08154701894359431,0.36400856092662176
73,005930,003490,0.042119954089654466,0.6395763276064156
74,005930,047040,0.13485702965946214,0.13217854430421005
75,005930,000210,0.09899958421397478,0.2700687123770655
76,005930,011070,0.13634347604960406,0.12792963377220667
77,005930,004990,0.09880267910068735,0.2710272900051449
78,005930,000100,0.0007914136100752867,0.9929826473267543
79,005930,047050,0.13122077578610855,0.14302716125181644
80,005930,007310,-0.01124854675329299,0.9005154812006763
81,005930,069960,-0.03494606593207494,0.6976624168615129
82,005930,012450,-0.013426705558391108,0.8813807775180967
83,005930,008560,0.20338983627938517,0.022358457696996036
84,005930,034020,0.21356846063164586,0.01634228105962455
85,005930,028050,0.004209505282139418,0.9626878803204991
86,005930,004170,-0.025785998279714978,0.7744108910293069
87,005930,006260,0.048170514542357955,0.5922108818665006
88,005930,204320,0.06491744171464324,0.4701737264383416
89,005930,011780,-0.003054363664593402,0.972922180551756
90,005930,051600,-0.12512513660788335,0.16270809094800212
91,005930,008770,0.0977793968927126,0.27604591241159676
92,005930,000150,0.22217307419867238,0.012406566101140626
93,005930,005300,0.008363618927366253,0.92594537456076
94,005930,003520,-0.04238800418844912,0.6374450001760031
95,005930,004370,-0.025919261323987627,0.7732764734022438
96,005930,030000,0.12606929056799387,0.15953423610394357
97,005930,010060,0.17895650554716858,0.04496542402846892
98,005930,006280,0.039150109321717946,0.6633838169421328
99,005930,010620,0.10109189733334989,0.2600247265236352
100,005930,000240,-0.1079423517621527,0.2289403029468783
101,005930,000670,-0.09034758445235573,0.3143668703859277
102,005930,064350,0.09723431909040055,0.2787446102203016
103,005930,011210,-0.11686911462968436,0.1924896951677171
104,005930,005610,0.048822732105433954,0.5872014704132406
105,005930,001740,0.05959360552202931,0.5074206831903445
106,005930,005440,-0.17791616397281773,0.04624700720735992
107,005930,161890,-0.06588431271723276,0.4635730808332486
108,005930,006650,0.05922301947688221,0.5100691801208886
109,005930,120110,0.07073664400290373,0.4312290921079606
110,005930,006120,0.008789082922241925,0.922189690239129
111,005930,000080,0.05175032690441829,0.5649582796021441
112,005930,010120,0.06275272702026106,0.4851359993172325
113,005930,111770,-0.09104681860656295,0.3106208143854085
114,005930,057050,-0.14016668621303763,0.11748325937779164
115,005930,042670,0.12292905302434742,0.1702720347261417
116,005930,003410,-0.10591485099216232,0.23785472314206768
117,005930,192400,0.03495615397101656,0.6975793935155272
118,005930,017800,-0.06806812514329877,0.448854008643931
119,005930,014820,-0.14655141285652795,0.10152717205222736
120,005930,010780,0.1591932073445905,0.07499368521531245
121,005930,001120,0.03784941695000811,0.6739192035935088
122,005930,002350,-0.1769594366650966,0.04745226401516399
123,005930,192820,-0.03583207494584108,0.6903844006199479
124,005930,114090,-0.03696213686861124,0.6811425975361265
125,005930,003240,-0.11817928902642677,0.18751631973691343
126,005930,000070,-0.14187614603913654,0.11303195067662042
127,005930,001230,0.08222018262525353,0.36004878108352073
128,005930,011790,-0.00965205696818102,0.9145773355908069
129,005930,185750,0.06170936854334609,0.49243751280852655
130,005930,073240,-0.18002341289217144,0.04368198028151372
131,005930,103140,0.09864719697890031,0.2717858366731181
